topology,ranks,cpu_threads,split,mse,rmse,mae,r2,median_absolute_error,p95_absolute_error,maximum_absolute_error,status
sequential,1,1,validation,21.63193892,4.65101483,2.91563870,0.98999284,2.31640983,6.38280840,54.69479370,PASS
sequential,1,1,test,21.71869192,4.66033174,2.84558222,0.98561003,2.17064857,6.33937378,45.74752808,PASS
openmp,1,4,validation,21.22631613,4.60720264,2.90977905,0.99018049,2.30105305,6.35686359,51.92910767,PASS
openmp,1,4,test,22.02244796,4.69280811,2.82745137,0.98540878,2.22832775,6.16541696,44.65888977,PASS
mpi,4,1,validation,21.17600095,4.60173890,2.88229679,0.99020376,2.28990936,6.30042076,53.03274536,PASS
mpi,4,1,test,22.64718422,4.75890578,2.85683441,0.98499485,2.26823425,6.36275859,48.43846130,PASS
cuda,1,0,validation,22.02474170,4.69305249,2.88801509,0.98981113,2.24071217,6.51386082,55.17938232,PASS
cuda,1,0,test,21.96826543,4.68703162,2.78167607,0.98544468,2.20358753,6.18671913,44.91275024,PASS
cpu-master,2,1,validation,21.66216569,4.65426317,2.90690439,0.98997886,2.34616280,6.00878525,53.30606079,PASS
cpu-master,2,1,test,22.30357625,4.72266622,2.82901028,0.98522251,2.27432585,6.08173761,48.16073608,PASS
cpu-master,3,18,validation,20.85024478,4.56620683,2.87979757,0.99035446,2.34105635,6.22626657,53.42742920,PASS
cpu-master,3,18,test,22.48139588,4.74145504,2.86019812,0.98510470,2.21687794,6.31944141,46.15956116,PASS
cpu-master,4,9,validation,20.65780510,4.54508582,2.83969512,0.99044349,2.16189384,6.22400818,51.32012939,PASS
cpu-master,4,9,test,21.94474522,4.68452188,2.77018008,0.98546026,2.18620968,6.22149029,47.69651794,PASS
gpu-master,2,19,validation,21.50302850,4.63713581,2.86212161,0.99005248,2.26927471,6.09677010,52.96734619,PASS
gpu-master,2,19,test,22.29286357,4.72153191,2.78847711,0.98522961,2.22510862,6.10397110,47.57110596,PASS
cpu-only,2,19,validation,22.35348258,4.72794697,2.99283535,0.98965905,2.39215851,6.55835266,54.10839844,PASS
cpu-only,2,19,test,23.43204167,4.84066542,2.94856265,0.98447484,2.32432222,6.39557037,45.45437622,PASS
training-mean,1,1,test,1510.24978170,38.86193229,23.66346669,-0.00063310,17.53205013,67.95147629,270.41253662,PASS
no-drag,1,1,test,45509.88417443,213.33045768,154.52404545,-29.15308928,107.98632145,462.09320564,590.53737450,PASS
