topology,ranks,cpu_threads,split,mse,rmse,mae,r2,median_absolute_error,p95_absolute_error,maximum_absolute_error,status
sequential,1,1,validation,38.43784141,6.19982592,2.59254011,0.98221826,1.52948570,6.29082069,88.37445068,PASS
sequential,1,1,test,33.17721493,5.75996657,2.49328743,0.97801806,1.52202320,6.12161274,74.57934570,PASS
openmp,1,8,validation,37.74205153,6.14345599,2.55743121,0.98254014,1.50079536,6.28681870,88.93533325,PASS
openmp,1,8,test,32.81765323,5.72866941,2.47359359,0.97825629,1.56197453,6.04572487,74.53674316,PASS
mpi,4,1,validation,38.06211025,6.16944975,2.61307276,0.98239208,1.54032230,6.45456595,87.70019531,PASS
mpi,4,1,test,33.75796721,5.81016069,2.52334285,0.97763328,1.59975100,6.20386934,75.01831055,PASS
cuda,1,0,validation,47.35466858,6.88147285,3.34332497,0.97809324,2.49465418,6.93101349,93.45193481,PASS
cuda,1,0,test,39.77086962,6.30641496,3.18083156,0.97364936,2.39886856,6.40463133,78.03808594,PASS
cpu-master,4,9,validation,37.84104540,6.15150757,2.53241421,0.98249434,1.45505238,6.09810429,89.19857788,PASS
cpu-master,4,9,test,32.67558789,5.71625646,2.42828974,0.97835042,1.50957489,5.87347879,74.23397827,PASS
cpu-only,2,19,validation,37.60623104,6.13239195,2.52398991,0.98260297,1.44676375,6.08720379,87.92874146,PASS
cpu-only,2,19,test,32.58293912,5.70814673,2.45958779,0.97841180,1.47793293,5.91830463,74.06045532,PASS
training-mean,1,1,test,1510.24978170,38.86193229,23.66346669,-0.00063310,17.53205013,67.95147629,270.41253662,PASS
no-drag,1,1,test,45509.88417443,213.33045768,154.52404545,-29.15308928,107.98632145,462.09320564,590.53737450,PASS
