implementation,topology,split,mse,rmse,mae,r2,median_absolute_error,p95_absolute_error,maximum_absolute_error,status
Sequential Eigen,sequential,validation,1.68430455,1.29780759,0.68262023,0.99912644,0.44536686,1.95942116,20.83609009,PASS
Sequential Eigen,sequential,test,1.51981668,1.23280845,0.65774754,0.99910355,0.43491364,1.88536720,25.11288452,PASS
OpenMP,8 threads,validation,1.00205551,1.00102723,0.58088336,0.99948029,0.41031742,1.49505730,14.87557983,PASS
OpenMP,8 threads,test,1.16805717,1.08076694,0.57274678,0.99931103,0.40844965,1.40951595,21.60147095,PASS
OpenMP,20 threads,validation,1.00557054,1.00278140,0.53109158,0.99947846,0.34069729,1.48077993,14.55633545,PASS
OpenMP,20 threads,test,1.02501773,1.01243159,0.51737166,0.99939540,0.33828735,1.44204273,18.83300781,PASS
MPI CPU,4 ranks,validation,1.54278832,1.24209030,0.65148495,0.99919983,0.40621567,1.78059206,18.56274414,PASS
MPI CPU,4 ranks,test,1.37914643,1.17437065,0.62997156,0.99918652,0.41422939,1.75164313,24.27279663,PASS
CUDA C++,single GPU,validation,1.27771687,1.13036139,0.60943970,0.99933731,0.41308212,1.67885323,16.76788330,PASS WITH WARNINGS
CUDA C++,single GPU,test,1.31363564,1.14613945,0.60869815,0.99922516,0.41761017,1.59826059,28.07077026,PASS WITH WARNINGS
Hybrid,cpu-master GPU+2CPU,validation,1.17828579,1.08548873,0.58158954,0.99938888,0.36926126,1.75346861,19.81304932,PASS WITH WARNINGS
Hybrid,cpu-master GPU+2CPU,test,1.25987332,1.12244079,0.56358171,0.99925687,0.36070347,1.60314598,23.98406982,PASS WITH WARNINGS
Hybrid,cpu-only master-worker,validation,0.93895062,0.96899464,0.63989814,0.99951301,0.47603989,1.62043571,11.29235840,PASS
Hybrid,cpu-only master-worker,test,1.02110751,1.01049865,0.65267203,0.99939771,0.49964142,1.67017059,16.73074341,PASS
Baseline,training mean,test,1695.84639954,41.18065565,25.02885695,-0.00028170,18.58611965,66.26354828,428.20051575,PASS
Baseline,no-drag physics,test,45540.92216277,213.40319155,153.89528437,-25.86195575,107.04755211,453.96899757,618.84570503,PASS
