split,v0,theta_deg,drag,range
0,4.58275137290179728e+01,3.52095686004290798e+01,1.16229043082781477e-02,8.33183401776114749e+01
0,7.65324587428154643e+01,4.26960674521787027e+01,2.19652589255901198e-02,7.78911300974373262e+01
0,2.00911728903743594e+01,4.10567590988232851e+01,9.84875701209983988e-03,3.13116950193637429e+01
0,7.64054612996070688e+01,3.20002410544210392e+01,1.24799782598121745e-02,1.20506341852567445e+02
0,3.18282016407339832e+01,1.64274348124199321e+01,2.76010160694169851e-02,2.88361035532488685e+01
0,3.96328514280803006e+01,7.82027002514205805e+01,4.71775731537890739e-03,4.09575424920798810e+01
2,6.79391815674309214e+01,2.53935278665079736e+01,6.67284808264713286e-02,3.21791227154396893e+01
0,3.86439395458412918e+01,2.23675730288878114e+01,7.91208656444647267e-03,6.93759550152050508e+01
0,4.84715581371141653e+01,6.06680097274570187e+01,3.86996110133414131e-02,3.08748234369939389e+01
2,1.19291379270147857e+01,3.49792351919617772e+01,3.43770512401007922e-02,1.01053713183507323e+01
2,6.27459176072364642e+01,5.82955342694405090e+01,2.79534946694445022e-02,4.74725304546486129e+01
0,4.76700319253494769e+01,7.49916477072705874e+01,6.28332408793144583e-03,5.64207362647671715e+01
1,3.30812201549364531e+01,5.76710658989352254e+01,7.02126541425161441e-03,6.26554280765509617e+01
0,6.51900092399882993e+01,5.74063663922034735e+01,6.68952528136761149e-02,2.42746381356653878e+01
0,3.12236380504151505e+01,4.48521341215763911e+01,1.14633036250938684e-02,5.50940764506778109e+01
0,4.17448522636456048e+01,2.81668599834315501e+01,2.35960534028005764e-02,5.00387018277507281e+01
0,1.93829188073015324e+01,4.28134424937267610e+01,2.85806737046919758e-02,2.15616173950380592e+01
0,3.82179090512990456e+01,1.51400315664138585e+01,1.07067726642050241e-02,4.94783343452530531e+01
0,2.42418668473304741e+01,5.97897576014937400e+01,4.32356922551600017e-03,4.28076615947334744e+01
0,2.83619338309294662e+01,3.80196211473691648e+01,1.66187420304422760e-02,4.24178298105826670e+01
0,6.25255270841036790e+01,5.98168587424871774e+01,7.91595024279089787e-02,1.96431995280265070e+01
0,2.96286130590227934e+01,7.18164385832421317e+01,5.29143389069236525e-02,1.27930054151841954e+01
0,4.39633682102144547e+01,6.32440853805669576e+01,1.89053330587281992e-02,4.49983218192790559e+01
0,7.86516039860866982e+01,5.46331126530895617e+01,6.38433354300164818e-02,2.84158138776901907e+01
1,7.73160035564650769e+01,4.54689931742500022e+01,4.25692192028371622e-02,4.52936202268280610e+01
0,6.07352958541473527e+01,1.34308775303081056e+01,4.43425266932776577e-02,3.61865117452457525e+01
0,4.78858798883203960e+01,4.38344822578785269e+01,3.95870883235187581e-03,1.41321194570523090e+02
1,2.93823842831759592e+01,4.45298983103473347e+01,4.17146671307264735e-03,6.87084625774133713e+01
0,2.12456406142588818e+01,6.19325689100362169e+01,1.02961888556526667e-03,3.65534926450269495e+01
1,7.78947789251292733e+01,4.74235190848742505e+01,6.35836770661431239e-02,3.17185590898155745e+01
1,4.61248009883515095e+01,2.53023198054998844e+01,7.86168499885420285e-02,2.34166270978132154e+01
0,1.81105928729539229e+01,3.38982383669934890e+01,7.62070830631917384e-02,1.25478891229527516e+01
0,5.36442828876250317e+01,7.92790540934649925e+01,1.97467658164131171e-02,2.30334590769462650e+01
2,6.43678180039608492e+01,7.69363767309164075e+01,6.32282235762905154e-02,1.19778733101402004e+01
0,5.29102310737128292e+01,1.16718842778571066e+01,9.28993568198259283e-03,6.83812992477868704e+01
0,7.42108393353631897e+01,2.39113122756375631e+01,5.84935780845326422e-02,3.70351487704882558e+01
1,1.27715013664941992e+01,5.12159745219789926e+01,4.31413221743599806e-02,1.03574220265183534e+01
0,4.70012484282015137e+01,5.66201298949638527e+01,7.02535058660420670e-03,9.61560662898963159e+01
0,4.21535118019782615e+01,7.95362348083919954e+01,5.58640500498639447e-02,9.12922359801343575e+00
0,1.43644705404912916e+01,7.44100965062698094e+01,1.68180020647413116e-02,8.45424234885009618e+00
2,5.48929718397562496e+01,3.71879241245802987e+01,5.59890834350641811e-02,3.32563261753692032e+01
0,6.96842986936459710e+01,5.75476356078086226e+01,5.25680157372686030e-02,3.03762633973291543e+01
1,5.15058712672998809e+01,4.84874429319460489e+01,4.35812313881087307e-02,3.58147029830481216e+01
0,2.82068213416056253e+01,3.71295359119207546e+01,3.35647557555744658e-02,2.99398173234948679e+01
0,6.87917064721986122e+01,2.38358625207376704e+01,4.41839277204610983e-02,4.45124604358262772e+01
1,4.56647117065056563e+01,1.62001559708690017e+01,7.62678931132894505e-02,2.17046807634558760e+01
1,4.57622219126573100e+01,3.64040144382232782e+01,4.84685475094805002e-02,3.37831788739506536e+01
2,6.27121145391524522e+01,3.68666882147934061e+01,6.17053924710503354e-02,3.27413166365190591e+01
0,2.03545425049469593e+01,1.49681754280825370e+01,1.79587188989899899e-03,2.01557521096022185e+01
0,6.73738703383493913e+01,3.44371185331748961e+01,6.68010653571899926e-02,3.19222237843269525e+01
1,5.78300834202280001e+01,1.98702051399110076e+01,7.80256219435525398e-03,1.08695532831488705e+02
0,6.50967859088360683e+01,7.12765272493725206e+01,5.54998355538831450e-02,1.84758428353348236e+01
0,2.34131381314094682e+01,6.18128919647837733e+01,4.66683913436502645e-02,1.62840679846693952e+01
0,6.61654912794170968e+01,4.27534961198383314e+01,5.40719083266048006e-02,3.58725120088947023e+01
0,2.33926748240040183e+01,6.60902906359426936e+01,4.14616454152115718e-02,1.54979639011102233e+01
0,1.57086832154458911e+01,4.27506072298324611e+01,6.60945470761842725e-03,2.20613466470072694e+01
0,6.98658882000949149e+01,4.05976519205216704e+01,2.63886135170952676e-02,6.56383814652427020e+01
0,7.02898447324367908e+01,7.06757640754121468e+01,3.04924199687110695e-02,3.20082368138646274e+01
2,7.13575967491606349e+01,6.98058494995760270e+01,6.22209728818958613e-02,1.84274476116463148e+01
1,4.30336803551153153e+01,4.57588989725445003e+01,7.37702853591119256e-02,2.24755747955912213e+01
1,2.91833872029602794e+01,6.51214502517113090e+01,3.70813555580049511e-02,2.04842782931298260e+01
0,1.04964280022216379e+01,6.95224984974147588e+01,1.41734287446114316e-02,6.44306932072688010e+00
